Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
201612   ,1.74   ,2.64   ,2.56   ,1.97   ,2.08   ,1.17
201701   ,1.92   ,0.52   ,0.34   ,1.54   ,2.25   ,2.69
201702   ,1.95   ,0.80   ,0.92   ,2.59   ,3.16   ,4.18
201703   ,0.00   ,0.18   ,1.20  ,-1.17   ,0.44   ,0.83
201704  ,-0.23   ,0.58   ,2.09   ,0.14   ,1.11   ,1.37
201705  ,-2.21  ,-1.37  ,-1.37  ,-1.10   ,1.34   ,2.74
201706   ,4.37   ,2.91   ,2.43   ,2.93   ,0.74  ,-0.45
201707   ,1.27   ,1.23   ,0.75   ,2.70   ,2.18   ,1.81
201708  ,-1.20  ,-1.67  ,-1.30  ,-1.48   ,0.58   ,1.16
201709   ,5.85   ,5.71   ,5.31   ,3.84   ,2.04   ,1.55
201710  ,-0.34   ,1.28   ,0.78   ,1.43   ,2.28   ,2.89
201711   ,1.73   ,3.02   ,4.09   ,1.66   ,2.30   ,4.62
201712   ,1.24  ,-0.13   ,2.24   ,1.62   ,0.64   ,1.82
201801   ,3.01   ,2.47   ,2.12   ,5.44   ,5.33   ,6.21
