Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
201211  ,-0.55   ,0.27   ,1.02   ,2.77   ,2.57   ,2.30
201212   ,5.99   ,5.22   ,6.13   ,4.00   ,3.30   ,2.41
201301   ,7.76   ,7.80   ,5.16   ,9.08   ,5.56   ,4.72
201302  ,-2.24  ,-0.08   ,0.15  ,-4.40  ,-1.54  ,-2.80
201303  ,-2.12  ,-1.16  ,-0.64  ,-2.36  ,-0.12   ,0.62
201304   ,3.23   ,2.74   ,3.59   ,6.14   ,3.71   ,3.67
201305   ,2.09   ,2.46   ,2.52   ,2.52   ,0.77  ,-0.00
201306  ,-3.94  ,-2.38  ,-1.99  ,-6.67  ,-4.35  ,-4.17
201307   ,5.80   ,5.92   ,7.74  ,10.13   ,6.90   ,6.90
201308   ,1.36   ,1.83   ,2.17   ,0.19  ,-1.90  ,-0.67
201309   ,7.66   ,6.82   ,7.17   ,8.01   ,6.67   ,6.68
201310   ,5.30   ,4.24   ,4.22   ,6.09   ,3.85   ,3.74
201311   ,1.08   ,2.11   ,3.28   ,1.68   ,1.33   ,0.85
201312   ,2.13   ,3.64   ,2.89   ,2.07   ,2.57   ,2.17
201401   ,0.75   ,0.08   ,0.15  ,-1.54  ,-4.56  ,-3.39
201402   ,8.19   ,7.49   ,7.84   ,6.61   ,7.07   ,8.27
201403  ,-0.20   ,0.23   ,0.19  ,-1.76  ,-0.32  ,-0.06
201404  ,-0.09   ,0.53  ,-0.87   ,0.59   ,2.77   ,2.29
201405   ,0.02   ,0.26   ,0.37  ,-0.26   ,1.58   ,0.74
201406  ,-0.53   ,0.21   ,0.20  ,-2.56   ,0.64   ,0.81
201407  ,-4.39  ,-4.48  ,-5.09  ,-2.08  ,-4.88  ,-4.66
201408  ,-1.09  ,-0.74  ,-0.47   ,0.17   ,0.03   ,0.02
201409  ,-5.84  ,-5.25  ,-5.63  ,-2.49  ,-4.33  ,-3.57
201410  ,-5.29  ,-2.88  ,-2.59  ,-4.01  ,-1.99  ,-2.04
201411   ,1.05   ,0.69   ,0.69   ,1.14   ,2.40   ,2.84
201412  ,-2.64  ,-1.08  ,-0.80  ,-5.32  ,-2.90  ,-4.00
201501  ,-2.10  ,-1.45  ,-2.03  ,-3.84   ,0.75   ,1.72
201502   ,7.85   ,6.69   ,6.36   ,7.39   ,6.24   ,5.03
201503  ,-2.89  ,-2.04  ,-2.19  ,-1.43  ,-2.82  ,-2.08
201504   ,6.39   ,6.63   ,7.06   ,4.84   ,4.65   ,4.30
201505   ,0.56   ,1.88   ,1.46   ,0.24  ,-0.39  ,-0.54
201506  ,-1.03  ,-1.44  ,-0.55  ,-2.26  ,-3.60  ,-3.05
201507   ,0.69   ,1.62   ,2.48   ,2.85   ,1.92   ,2.92
201508  ,-3.29  ,-2.14  ,-2.69  ,-6.83  ,-6.46  ,-5.84
201509  ,-4.21  ,-3.72  ,-1.12  ,-6.15  ,-3.52  ,-3.83
201510   ,2.49   ,3.74   ,4.58   ,4.88   ,7.32   ,6.75
201511  ,-3.41  ,-0.39   ,0.40  ,-3.14  ,-0.95  ,-0.89
201512   ,1.07   ,1.93   ,1.66  ,-2.33  ,-2.61  ,-1.58
201601  ,-7.65  ,-6.74  ,-6.89  ,-9.52  ,-5.19  ,-5.35
201602  ,-0.67   ,0.28  ,-1.13  ,-3.22  ,-1.30  ,-1.46
201603   ,8.11   ,8.54   ,8.63   ,6.03   ,6.69   ,6.99
201604   ,2.96   ,1.64   ,1.09   ,3.57   ,2.38   ,1.68
201605  ,-0.50   ,0.85   ,2.65  ,-0.77  ,-0.39  ,-0.40
201606  ,-6.57  ,-7.29  ,-7.97 ,-10.97  ,-2.35  ,-3.07
201607   ,5.07   ,6.26   ,6.28   ,4.47   ,4.94   ,3.42
201608   ,2.05   ,2.80   ,2.15   ,2.81   ,0.44  ,-1.11
201609   ,1.48   ,1.97   ,1.99   ,0.40   ,1.41   ,0.52
201610  ,-3.18  ,-3.37  ,-3.59   ,1.56  ,-4.10  ,-5.74
201611  ,-1.68  ,-1.85  ,-1.18  ,-0.55  ,-2.97  ,-4.11
201612   ,4.03   ,3.99   ,4.12   ,5.83   ,4.78   ,3.96
201701   ,4.77   ,4.92   ,4.72   ,2.62   ,3.03   ,2.20
201702  ,-0.12   ,1.35   ,1.33  ,-1.49   ,1.08   ,2.49
201703   ,2.39   ,3.97   ,3.30   ,5.06   ,3.97   ,4.39
201704   ,4.74   ,7.25   ,7.67   ,4.13   ,4.86   ,4.39
201705   ,4.61   ,5.56   ,5.10   ,4.03   ,5.14   ,5.97
201706   ,1.59   ,0.57   ,0.29   ,0.63  ,-0.76  ,-2.09
201707   ,4.74   ,4.03   ,3.79   ,5.70   ,2.65   ,2.09
201708   ,0.11   ,0.11   ,0.59  ,-1.32   ,0.84   ,1.13
201709   ,1.56   ,3.49   ,3.15   ,3.51   ,2.71   ,2.54
201710  ,-0.27  ,-0.16  ,-0.38   ,0.07   ,1.61   ,0.40
201711   ,0.13   ,0.26  ,-1.08  ,-0.10   ,0.29   ,0.44
